service,port,transport
bridgecontrol,1073,tcp
warmspotMgmt,1074,tcp
rdrmshc,1075,tcp
dab-sti-c,1076,tcp
imgames,1077,tcp
avocent-proxy,1078,tcp
asprovatalk,1079,tcp
socks,1080,tcp
pvuniwien,1081,tcp
amt-esd-prot,1082,tcp
ansoft-lm-1,1083,tcp
ansoft-lm-2,1084,tcp
webobjects,1085,tcp
cplscrambler-lg,1086,tcp
cplscrambler-in,1087,tcp
cplscrambler-al,1088,tcp
ff-annunc,1089,tcp
ff-fms,1090,tcp
ff-sm,1091,tcp
obrpd,1092,tcp
proofd,1093,tcp
rootd,1094,tcp
nicelink,1095,tcp
cnrprotocol,1096,tcp
sunclustermgr,1097,tcp
rmiactivation,1098,tcp
rmiregistry,1099,tcp
mctp,1100,tcp
pt2-discover,1101,tcp
adobeserver-1,1102,tcp
adobeserver-2,1103,tcp
xrl,1104,tcp
ftranhc,1105,tcp
isoipsigport-1,1106,tcp
isoipsigport-2,1107,tcp
ratio-adp,1108,tcp
webadmstart,1110,tcp
lmsocialserver,1111,tcp
icp,1112,tcp
ltp-deepspace,1113,tcp
mini-sql,1114,tcp
ardus-trns,1115,tcp
ardus-cntl,1116,tcp
ardus-mtrns,1117,tcp
sacred,1118,tcp
bnetgame,1119,tcp
bnetfile,1120,tcp
rmpp,1121,tcp
availant-mgr,1122,tcp
murray,1123,tcp
hpvmmcontrol,1124,tcp
hpvmmagent,1125,tcp
hpvmmdata,1126,tcp
kwdb-commn,1127,tcp
saphostctrl,1128,tcp
saphostctrls,1129,tcp
casp,1130,tcp
caspssl,1131,tcp
kvm-via-ip,1132,tcp
dfn,1133,tcp
aplx,1134,tcp
omnivision,1135,tcp
hhb-gateway,1136,tcp
trim,1137,tcp
encrypted-admin,1138,tcp
evm,1139,tcp
autonoc,1140,tcp
mxomss,1141,tcp
edtools,1142,tcp
imyx,1143,tcp
fuscript,1144,tcp
x9-icue,1145,tcp
audit-transfer,1146,tcp
capioverlan,1147,tcp
elfiq-repl,1148,tcp
bvtsonar,1149,tcp
blaze,1150,tcp
unizensus,1151,tcp
winpoplanmess,1152,tcp
c1222-acse,1153,tcp
resacommunity,1154,tcp
nfa,1155,tcp
iascontrol-oms,1156,tcp
iascontrol,1157,tcp
dbcontrol-oms,1158,tcp
oracle-oms,1159,tcp
olsv,1160,tcp
health-polling,1161,tcp
health-trap,1162,tcp
sddp,1163,tcp
qsm-proxy,1164,tcp
qsm-gui,1165,tcp
qsm-remote,1166,tcp
cisco-ipsla,1167,tcp
vchat,1168,tcp
tripwire,1169,tcp
atc-lm,1170,tcp
atc-appserver,1171,tcp
dnap,1172,tcp
d-cinema-rrp,1173,tcp
fnet-remote-ui,1174,tcp
dossier,1175,tcp
indigo-server,1176,tcp
dkmessenger,1177,tcp
sgi-storman,1178,tcp
b2n,1179,tcp
mc-client,1180,tcp
3comnetman,1181,tcp
accelenet,1182,tcp
llsurfup-http,1183,tcp
llsurfup-https,1184,tcp
catchpole,1185,tcp
mysql-cluster,1186,tcp
alias,1187,tcp
hp-webadmin,1188,tcp
unet,1189,tcp
commlinx-avl,1190,tcp
gpfs,1191,tcp
caids-sensor,1192,tcp
fiveacross,1193,tcp
openvpn,1194,tcp
rsf-1,1195,tcp
netmagic,1196,tcp
carrius-rshell,1197,tcp
cajo-discovery,1198,tcp
dmidi,1199,tcp
scol,1200,tcp
nucleus-sand,1201,tcp
caiccipc,1202,tcp
ssslic-mgr,1203,tcp
ssslog-mgr,1204,tcp
accord-mgc,1205,tcp
anthony-data,1206,tcp
metasage,1207,tcp
seagull-ais,1208,tcp
ipcd3,1209,tcp
eoss,1210,tcp
groove-dpp,1211,tcp
lupa,1212,tcp
mpc-lifenet,1213,tcp
kazaa,1214,tcp
scanstat-1,1215,tcp
etebac5,1216,tcp
hpss-ndapi,1217,tcp
aeroflight-ads,1218,tcp
aeroflight-ret,1219,tcp
qt-serveradmin,1220,tcp
sweetware-apps,1221,tcp
nerv,1222,tcp
tgp,1223,tcp
vpnz,1224,tcp
slinkysearch,1225,tcp
stgxfws,1226,tcp
dns2go,1227,tcp
florence,1228,tcp
zented,1229,tcp
periscope,1230,tcp
menandmice-lpm,1231,tcp
first-defense,1232,tcp
univ-appserver,1233,tcp
search-agent,1234,tcp
mosaicsyssvc1,1235,tcp
bvcontrol,1236,tcp
tsdos390,1237,tcp
hacl-qs,1238,tcp
nmsd,1239,tcp
instantia,1240,tcp
nessus,1241,tcp
nmasoverip,1242,tcp
serialgateway,1243,tcp
isbconference1,1244,tcp
isbconference2,1245,tcp
payrouter,1246,tcp
visionpyramid,1247,tcp
hermes,1248,tcp
mesavistaco,1249,tcp
swldy-sias,1250,tcp
servergraph,1251,tcp
bspne-pcc,1252,tcp
q55-pcc,1253,tcp
de-noc,1254,tcp
de-cache-query,1255,tcp
de-server,1256,tcp
shockwave2,1257,tcp
opennl,1258,tcp
opennl-voice,1259,tcp
ibm-ssd,1260,tcp
mpshrsv,1261,tcp
qnts-orb,1262,tcp
dka,1263,tcp
prat,1264,tcp
dssiapi,1265,tcp
dellpwrappks,1266,tcp
epc,1267,tcp
propel-msgsys,1268,tcp
watilapp,1269,tcp
opsmgr,1270,tcp
excw,1271,tcp
cspmlockmgr,1272,tcp
emc-gateway,1273,tcp
t1distproc,1274,tcp
ivcollector,1275,tcp
miva-mqs,1277,tcp
dellwebadmin-1,1278,tcp
dellwebadmin-2,1279,tcp
pictrography,1280,tcp
healthd,1281,tcp
emperion,1282,tcp
productinfo,1283,tcp
iee-qfx,1284,tcp
neoiface,1285,tcp
netuitive,1286,tcp
routematch,1287,tcp
navbuddy,1288,tcp
jwalkserver,1289,tcp
winjaserver,1290,tcp
seagulllms,1291,tcp
dsdn,1292,tcp
pkt-krb-ipsec,1293,tcp
cmmdriver,1294,tcp
ehtp,1295,tcp
dproxy,1296,tcp
sdproxy,1297,tcp
lpcp,1298,tcp
hp-sci,1299,tcp
h323hostcallsc,1300,tcp
sftsrv,1303,tcp
boomerang,1304,tcp
pe-mike,1305,tcp
re-conn-proto,1306,tcp
pacmand,1307,tcp
odsi,1308,tcp
jtag-server,1309,tcp
husky,1310,tcp
rxmon,1311,tcp
sti-envision,1312,tcp
bmc-patroldb,1313,tcp
pdps,1314,tcp
els,1315,tcp
exbit-escp,1316,tcp
vrts-ipcserver,1317,tcp
krb5gatekeeper,1318,tcp
amx-icsp,1319,tcp
amx-axbnet,1320,tcp
pip,1321,tcp
novation,1322,tcp
brcd,1323,tcp
delta-mcp,1324,tcp
dx-instrument,1325,tcp
wimsic,1326,tcp
ultrex,1327,tcp
ewall,1328,tcp
netdb-export,1329,tcp
streetperfect,1330,tcp
intersan,1331,tcp
pcia-rxp-b,1332,tcp
passwrd-policy,1333,tcp
writesrv,1334,tcp
digital-notary,1335,tcp
ischat,1336,tcp
menandmice-dns,1337,tcp
wmc-log-svc,1338,tcp
kjtsiteserver,1339,tcp
naap,1340,tcp
qubes,1341,tcp
esbroker,1342,tcp
re101,1343,tcp
icap,1344,tcp
vpjp,1345,tcp
alta-ana-lm,1346,tcp
bbn-mmc,1347,tcp
bbn-mmx,1348,tcp
sbook,1349,tcp
editbench,1350,tcp
equationbuilder,1351,tcp
lotusnote,1352,tcp
relief,1353,tcp
XSIP-network,1354,tcp
intuitive-edge,1355,tcp
cuillamartin,1356,tcp
pegboard,1357,tcp
connlcli,1358,tcp
ftsrv,1359,tcp
mimer,1360,tcp
linx,1361,tcp
timeflies,1362,tcp
ndm-requester,1363,tcp
ndm-server,1364,tcp
adapt-sna,1365,tcp
netware-csp,1366,tcp
dcs,1367,tcp
screencast,1368,tcp
gv-us,1369,tcp
us-gv,1370,tcp
fc-cli,1371,tcp
fc-ser,1372,tcp
chromagrafx,1373,tcp
molly,1374,tcp
bytex,1375,tcp
ibm-pps,1376,tcp
cichlid,1377,tcp
elan,1378,tcp
dbreporter,1379,tcp
telesis-licman,1380,tcp
apple-licman,1381,tcp
udt-os,1382,tcp
gwha,1383,tcp
os-licman,1384,tcp
atex-elmd,1385,tcp
checksum,1386,tcp
cadsi-lm,1387,tcp
objective-dbc,1388,tcp
iclpv-dm,1389,tcp
iclpv-sc,1390,tcp
iclpv-sas,1391,tcp
iclpv-pm,1392,tcp
iclpv-nls,1393,tcp
iclpv-nlc,1394,tcp
iclpv-wsm,1395,tcp
dvl-activemail,1396,tcp
audio-activmail,1397,tcp
video-activmail,1398,tcp
cadkey-licman,1399,tcp
cadkey-tablet,1400,tcp
goldleaf-licman,1401,tcp
prm-sm-np,1402,tcp
prm-nm-np,1403,tcp
igi-lm,1404,tcp
ibm-res,1405,tcp
netlabs-lm,1406,tcp
tibet-server,1407,tcp
sophia-lm,1408,tcp
here-lm,1409,tcp
hiq,1410,tcp
af,1411,tcp
innosys,1412,tcp
innosys-acl,1413,tcp
ibm-mqseries,1414,tcp
dbstar,1415,tcp
novell-lu6-2,1416,tcp
timbuktu-srv1,1417,tcp
timbuktu-srv2,1418,tcp
timbuktu-srv3,1419,tcp
